row;query;result_id;position;notes
0;employee;696;7;Still break every station. Actually develop th...
1;organisation;576;8;Believe among quickly room organization. Kind ...
2;office;400;3;Sure him mean analysis off whole west. Talk ne...
3;national;331;7;Third star five law national thing instead. Bl...
4;fire;953;9;Action about across whom. Me lead material the...
5;police;720;1;Decision help cultural begin section follow di...
6;summer;321;6;Method capital serve until. Figure turn summer...
7;rabbit;120;7;Very member father exist. Strategy door effort...
8;cat;371;8;Know rise what other pick. Somebody matter pro...
9;cat;670;6;Certain build back southern piece woman networ...
10;dog;595;2;Finish wall we understand even man would front...
11;cat;857;1;Better mission recent charge box like image. B...
12;dog;739;1;State range visit let owner. Small true hand e...
13;dog;612;3;Actually arm water foot mouth. Number explain ...
14;cat;649;1;Voice shake several. Medical card politics fro...
15;citizen;471;5;Toward upon traditional citizen.\nType college...
16;dog;438;8;There center police develop. Focus serve presi...
17;dog;407;7;Give power look material member camera anythin...
18;cat;123;7;Suffer name avoid back manage drive who. South...
19;rabbit;368;6;Why quality shoulder such strategy place. Atte...
20;book;477;1;Treat involve book near. Behind blue mean too....
21;book;572;9;Where ball short if sort. By since book near l...
22;education;182;2;Involve amount discover before step red experi...
23;rabbit;738;1;Anyone he last sister. Vote work get audience ...
